"","Time","season","consumption","id"
"341","13:00 - 13:15","monsoon",882.531737530753,"53"
"342","13:15 - 13:30","monsoon",878.895433327855,"54"
"343","13:30 - 13:45","monsoon",881.738678487275,"55"
"344","13:45 - 14:00","monsoon",892.346594081478,"56"
"345","14:00 - 14:15","monsoon",902.669220893072,"57"
"346","14:15 - 14:30","monsoon",910.263114255391,"58"
"347","14:30 - 14:45","monsoon",919.203845965536,"59"
"348","14:45 - 15:00","monsoon",925.303404458289,"60"
"349","15:00 - 15:15","monsoon",930.780348139449,"61"
"350","15:15 - 15:30","monsoon",929.178553037999,"62"
"351","15:30 - 15:45","monsoon",930.083010574231,"63"
"352","15:45 - 16:00","monsoon",927.574839472782,"64"
"353","16:00 - 16:15","monsoon",927.705719153941,"65"
"354","16:15 - 16:30","monsoon",926.417442603217,"66"
"355","16:30 - 16:45","monsoon",926.317232806115,"67"
"356","16:45 - 17:00","monsoon",925.595384110463,"68"
"357","17:00 - 17:15","monsoon",924.223673298869,"69"
"358","17:15 - 17:30","monsoon",920.527021559739,"70"
"359","17:30 - 17:45","monsoon",918.208114545246,"71"
"360","17:45 - 18:00","monsoon",918.425460922057,"72"
"361","18:00 - 18:15","monsoon",918.847329037999,"73"
"362","18:15 - 18:30","monsoon",920.312870487275,"74"
"363","18:30 - 18:45","monsoon",924.342185559739,"75"
"364","18:45 - 19:00","monsoon",932.215495124956,"76"
"365","19:00 - 19:15","monsoon",937.33151019742,"77"
"366","19:15 - 19:30","monsoon",944.459353385826,"78"
"367","19:30 - 19:45","monsoon",949.703616284376,"79"
"368","19:45 - 20:00","monsoon",952.357064835101,"80"
"369","20:00 - 20:15","monsoon",947.150936719159,"81"
"370","20:15 - 20:30","monsoon",942.090697588724,"82"
"371","20:30 - 20:45","monsoon",936.796698023507,"83"
"372","20:45 - 21:00","monsoon",931.085722661188,"84"
"373","21:00 - 21:15","monsoon",922.120152226405,"85"
"374","21:15 - 21:30","monsoon",923.367064255391,"86"
"375","21:30 - 21:45","monsoon",928.866574980028,"87"
"376","21:45 - 22:00","monsoon",935.312656284376,"88"
"377","22:00 - 22:15","monsoon",936.242228168434,"89"
"378","22:15 - 22:30","monsoon",943.193622081478,"90"
"379","22:30 - 22:45","monsoon",947.539517298869,"91"
"380","22:45 - 23:00","monsoon",947.74278193655,"92"
"381","23:00 - 23:15","monsoon",939.624428168434,"93"
"382","23:15 - 23:30","monsoon",932.959648458289,"94"
"383","23:30 - 23:45","monsoon",923.989134690173,"95"
"384","23:45 - 24:00","monsoon",910.446719472782,"96"
