"","id_grid","X","id_discom","id_subdiv","x","y","area_intersection","id_intersect","area_subdiv","area_discom","weight_in_subdiv","weight_in_discom","area_grid","weight_in_grid"
"88","PAPPANKALAN-2",22,"BRPL","Patel Nagar",-1071836.728884,3273777.25545329,5053100.38270232,41,55165059.5244254,770007528.14153,0.0915996543149738,0.00656240387012625,86622596.0495574,0.0583346680098505
"89","PAPPANKALAN-2",47,"BRPL","Vasant Vihar",-1072947.11529202,3264294.38569926,10906532.2838198,72,97787044.6336408,770007528.14153,0.111533509624727,0.0141641891607781,86622596.0495574,0.125908628709074
"90","PAPPANKALAN-2",37,"BRPL","Najafgarh",-1076389.5266265,3266402.35909225,70031651.2388269,76,269733276.673275,770007528.14153,0.259632968177135,0.0909493072202208,86622596.0495574,0.808468626347348
"91","PAPPANKALAN-2",50,"BRPL","Punjabi Bagh",-1072958.29967883,3274015.75405867,631312.144208354,34,74961537.7780212,770007528.14153,0.00842181421194718,0.000819877885781289,86622596.0495574,0.00728807693372727
"92","PARK STREET",102,"MES","Delhi Cantonment",-1058999.57895904,3269658.82306971,625014.664701697,21,74652275.951351,47534041.6042452,0.0083723457421312,0.0131487801922123,49050105.9724137,0.0127423713427492
"93","PARK STREET",26,"BRPL","Patel Nagar",-1060249.63107467,3275983.69597777,28874.3226458652,38,55165059.5244254,770007528.14153,0.000523416867393763,3.7498753701221e-05,49050105.9724137,0.00058866993400798
"94","PARK STREET",137,"NDPL","Delhi Cantonment",-1059094.1875914,3272958.80870448,3410301.54313205,157,74652275.951351,529592854.173835,0.0456824858943947,0.00643947801835831,49050105.9724137,0.0695268944994744
"95","PARK STREET",83,"BYPL","Connaught Place",-1052605.94007681,3271804.30890049,2037.02922302624,111,6119752.00934554,186262579.403726,0.000332861400252081,1.09363310094131e-05,49050105.9724137,4.15295580436031e-05
"96","PARK STREET",68,"BYPL","Paharganj",-1054012.17202677,3272868.76724909,577327.407825301,102,4014426.86723909,186262579.403726,0.143813158619665,0.00309953512763258,49050105.9724137,0.0117701561776441
"97","PARK STREET",73,"BYPL","Parliament Street",-1054054.81474827,3272623.69428359,44619.0473482816,113,7640711.49838114,186262579.403726,0.00583964560862365,0.000239549175637525,49050105.9724137,0.000909662608545144
"98","PARK STREET",74,"BYPL","Patel Nagar",-1057641.44506916,3273903.2408586,3397652.04236125,79,55165059.5244254,186262579.403726,0.0615906530628661,0.0182411950550561,49050105.9724137,0.0692690051326724
