"","subdiv_name","population","scheduled_caste","literacy","tot_workers","main_workers","marginal_workers","female","male","female_workers","male_workers","total_household","total_hh_good","total_hh_liveable","total_hh_dilapidated","total_residence_household","res_good","res_liveable","res_dilapidated","other_total_households","other_good","other_liveable","other_dilapidated","intersection_id","discom_ratio","subdiv_ratio","discom_name","district_name"
"44","Rajouri Garden",19116.7626423867,2198.42770387447,16727.1673120883,7149.66922825262,6920.26807654398,229.40115170864,8827.86993927222,10288.8927031145,1350.66410070865,5792.64659185344,20786.6295140394,14195.7140701814,6001.25648055141,589.658963306625,19951.3983909335,13705.5620415146,5689.63743633222,556.198913086681,835.231123105904,490.152028666769,311.619044219192,33.4600502199438,"4 5",0.00104177786940737,0.0396916372715822,"NDPL","West"
"45","Rajouri Garden",462515.237357613,53189.2522961255,404700.832687912,172980.698771747,167430.515923456,5550.18284829136,213583.462676444,248931.77468117,32678.2697894959,140148.589145499,502916.370485961,343454.285929819,145195.743519449,14266.3410366934,482708.601609067,331595.437958485,137656.362563668,13456.8010869133,20207.7688768941,11858.8479713332,7539.38095578081,809.539949780056,"2 5",0.0173354041007958,0.960308362728418,"BRPL","West"
"46","Sadar Bazaar",122454.744346676,26205.3152901887,100167.980875581,42246.8867996033,40287.6108900565,2081.7306538935,56760.1390104766,65694.6053361998,4143.4901477648,38168.5657003321,165442.014495475,98813.7210234103,60974.3509561042,5653.94251596055,157796.823217863,94705.1831911502,57708.5901150769,5383.0499116357,7645.19127761226,4108.53783226013,3265.76084102729,270.892604324844,"3 7",0.0225360226196834,0.940599320572375,"BYPL","North"
"47","Sadar Bazaar",7733.25565332358,1654.91670981125,6325.80312441869,2667.97320039663,2544.24110994346,131.465346106501,3584.5133500384,4148.74230328518,261.669474552803,2410.41927820869,10447.9855045249,6240.27897658966,3850.64904389576,357.057484039451,9965.17678213714,5980.8168088498,3644.40988492305,339.950088364295,482.808722387732,259.462167739864,206.239158972712,17.1073956751559,"4 7",0.000500550060291198,0.0594006794276245,"NDPL","North"
"48","Saraswati Vihar",1108.28869923089,213.899718951561,949.803415240869,360.193827250038,344.677785460806,15.5160417892324,516.254137675928,592.034561554958,50.5929054922409,309.634075693244,359.46449299024,221.251908562809,125.979543413109,12.233041014322,346.790266790407,214.247601348643,120.678920062635,11.8637453791287,12.6742261998329,7.0043072141656,5.300623350474,0.369295635193265,"3 1",0.000408761321369805,0.000492394180257687,"BYPL","North West"
"49","Saraswati Vihar",2201869.34437453,424960.783464283,1887002.02812897,715607.536921721,684781.366100477,30826.1708212434,1025657.08776421,1176212.25661032,100514.394600892,615159.010207199,714158.547367316,439567.592078564,250287.217448057,24303.7378406945,688978.294106187,425651.931525357,239756.315103223,23570.047477608,25180.2532611285,13915.6605532072,10530.9023448348,733.690363086496,"4 1",0.285622180828461,0.978253817448661,"NDPL","North West"
"50","Saraswati Vihar",47838.366926243,9232.80481676491,40997.4804557903,15547.469251029,14877.7321140616,669.737136967403,22283.6837391475,25554.6831870956,2183.80100643646,13365.099306851,15515.9881396937,9550.15601287317,5437.80300852944,528.029118291136,14968.9156270221,9247.82087329454,5209.00597671476,512.088777012826,547.072512671625,302.335139578627,228.797031814687,15.9403412783107,"2 1",0.00426799475201098,0.021253788371081,"BRPL","North West"
"51","Seelampur",1279956.13033688,162554.428552783,1057243.76365826,367347.409406683,345588.155190956,21759.2542157269,599490.351316739,680465.779020136,31173.4982684705,336150.094835947,366744.394026081,228780.325624876,130560.670075994,7403.39832521135,342023.077737632,214129.487710332,120894.013428918,6999.57659838164,24721.3162884487,14650.8379145436,9666.65664707533,403.82172682971,"3 9",0.226439732608232,0.928325808803931,"BYPL","North East"
"52","Seelampur",98822.8696631243,12550.5044472168,81627.6903417406,28362.1635933167,26682.1748090436,1679.98878427311,46285.4588905967,52537.4107725276,2406.84386231103,25953.4809216286,28315.6059739189,17663.6743751239,10080.3299240063,571.601674788647,26406.9222623676,16532.5122896676,9333.98657108162,540.423401618357,1908.68371155131,1131.16208545635,746.343352924662,31.1782731702898,"4 9",0.00614891523187835,0.0716741911960686,"NDPL","North East"
"53","Seemapuri",539914,160894.372,444889.136,166293.512,154415.404,11878.108,253791.053524112,286122.946475888,22587.403763646,143633.719130896,395060,246444,140641,7975,368430,230662,130228,7540,26630,15782,10413,435,"3 11",0.0469907187117927,1,"BYPL","North East"
"54","Shahdara",322931,37459.996,278366.522,99785.679,95587.576,4198.103,153502.353620147,169428.646379853,11205.6718142707,88441.7534102833,395060,246444,140641,7975,368430,230662,130228,7540,26630,15782,10413,435,"3 26",0.0298512242489191,1,"BYPL","North East"
"55","Vasant Vihar",592183.609264427,85866.623343342,522898.126980489,232728.15844092,220884.486255631,12435.855794553,263557.854955644,328625.754308783,44277.7196325482,188631.182973242,427085.108493387,295655.280260996,120223.24167911,11206.5865532815,411313.012290177,285992.679485828,114870.511545779,10449.8212585693,15772.0962032102,9662.60077516738,5352.73013333055,756.76529471225,"2 24",0.117201644213718,0.922884505746646,"BRPL","South West"
"56","Vasant Vihar",31646.3452913816,4588.72006725033,27943.7228922899,12437.013699513,11804.0867936853,664.573251119013,14084.5554515472,17561.7898398344,2366.20531585993,10080.467368065,22823.4665747963,15799.8447440678,6424.74083832241,598.880992406091,21980.6043364516,15283.4744903832,6138.69045901291,558.439387055437,842.862238344733,516.370253684573,286.050379309506,40.4416053506542,"0 24",0.099740068180907,0.049319030915432,"NDMC","South West"
"57","Vasant Vihar",17836.0454441908,2586.22658940767,15749.2281272205,7009.56585956699,6652.84495068317,374.556954328007,7938.12899347449,9897.91645071631,1333.60567090371,5681.40404271117,12863.4249318167,8904.87499493656,3621.01748256771,337.532454312382,12388.3833733716,8613.84602378852,3459.79799520776,314.739354375286,475.04155844508,291.028971148039,161.219487359945,22.7930999370957,"1 24",0.0571828927090328,0.0277964633379216,"MES","South West"
"58","Vivek Vihar",247906,48341.67,222123.776,85279.664,82304.792,2974.872,117153.890295359,130752.109704641,14292.7746160338,70998.3955696202,354385,262095,85473,6817,339063,252117,80431,6515,15322,9978,5042,302,"3 10",0.134527023523318,1,"BYPL","East"
